ID,NAME,ANIM_FIRE,RUMBLE_L,RUMBLE_R,RUMBLE_D,ANIM_RELOAD,SIGHTED_TRANS,UNSIGHTED_TRANS,SPEED,ATTACK_DELAY,CAPACITY,WEIGHT,ATTACK_SPEED,AP,ATTACK_RATE,MANUAL_RATE,DEF_FIRE_RATE
00001ba1,crScorchbeastSonicAttackWeapon,0.9670000076293945,0.5,1.0,0.33000001311302185,0.0,0.25,0.25,1.0,0.0,0,0.0,3.9666666984558105,0.0,2.521,0,91.0
00002045,binoculars,0.30000001192092896,0.800000011920929,0.6000000238418579,0.20000000298023224,10.0,0.15000000596046448,0.15000000596046448,1.0,10.0,30,2.0,0.30000001192092896,20.0,33.333,1.0,91.0
000021e0,zzz_AudioTestGrenade,0.699999988079071,0.10000000149011612,0.30000001192092896,0.15000000596046448,2.3333001136779785,0.25,0.25,1.0,0.0,0,0.5,1.8333333730697632,20.0,5.455,0,91.0
00003aac,Blackpowder_Pistol,9.999999747378752e-06,0.6000000238418579,0.6000000238418579,0.20000000298023224,5.000010013580322,0.11999999731779099,0.15000000596046448,1.0,0.0,1,3.0,0.6666666865348816,28.0,15.0,0,91.0
00003aad,Blackpowder_Pistol_Blunderbuss,9.999999747378752e-06,0.6000000238418579,0.6000000238418579,0.20000000298023224,5.000010013580322,0.11999999731779099,0.15000000596046448,1.0,0.0,1,3.0,0.6666666865348816,28.0,15.0,0,91.0
00004117,crFlatwoodsMonsterLaser,0.6000100374221802,0.699999988079071,0.20000000298023224,0.20000000298023224,1.5333000421524048,0.20000000298023224,0.20000000298023224,1.0,2.0,0,8.0,1.1666666269302368,30.0,8.571,5.0,91.0
000042f2,Tomahawk,0.699999988079071,0.5,1.0,0.33000001311302185,0.0,0.25,0.25,1.0,0.0,0,0.699999988079071,1.8333333730697632,20.0,5.455,0,91.0
000042f2,Tomahawk,0.699999988079071,0.5,1.0,0.33000001311302185,0.0,0.25,0.25,1.0,0.0,0,0.699999988079071,1.8333333730697632,20.0,5.455,0,91.0
0000463f,AssaultRifle,9.999999747378752e-06,0.800000011920929,0.800000011920929,0.20000000298023224,1.9333434104919434,0.20000000298023224,0.20000000298023224,1.0,0.25,20,8.0,0.6666666865348816,32.0,15.0,40.0,91.0
00004822,10mm,9.999999747378752e-06,0.6000000238418579,0.6000000238418579,0.20000000298023224,1.9666767120361328,0.11999999731779099,0.15000000596046448,1.0,0.23330000042915344,12,3.0,0.6666666865348816,20.0,15.0,42.863,91.0
000073f8,PulseGrenadeOrbital,0.699999988079071,0.10000000149011612,0.30000001192092896,0.15000000596046448,2.3333001136779785,0.25,0.25,1.0,0.0,0,0.5,1.8333333730697632,20.0,5.455,0,91.0
